Year,League,Series,Date,Team_win,Wins_win,Team_lose,Wins_lose,Fav,Underdog
1976,ABA,First Round,"Apr 8 - Apr 12, 1976",Kentucky Colonels (4),2,Indiana Pacers (5),1,,
1976,ABA,Semifinals,"Apr 15 - Apr 28, 1976",Denver Nuggets (1),4,Kentucky Colonels (4),3,,
1976,ABA,Semifinals,"Apr 9 - Apr 24, 1976",New York Nets (2),4,San Antonio Spurs (3),3,,
1976,ABA,Finals,"May 1 - May 13, 1976",New York Nets (2),4,Denver Nuggets (1),2,,
1975,ABA,Eastern Div Tiebreak,"Apr 4 - Apr 4, 1975",Kentucky Colonels,1,New York Nets,0,,
1975,ABA,Eastern Div Semifinals,"Apr 6 - Apr 13, 1975",Kentucky Colonels (1),4,Memphis Sounds (4),1,,
1975,ABA,Eastern Div Semifinals,"Apr 6 - Apr 15, 1975",Spirits of St. Louis (3),4,New York Nets (2),1,,
1975,ABA,Western Div Semifinals,"Apr 6 - Apr 14, 1975",Denver Nuggets (1),4,Utah Stars (4),2,,
1975,ABA,Western Div Semifinals,"Apr 5 - Apr 16, 1975",Indiana Pacers (3),4,San Antonio Spurs (2),2,,
1975,ABA,Eastern Div Finals,"Apr 21 - Apr 28, 1975",Kentucky Colonels (1),4,Spirits of St. Louis (3),1,,
1975,ABA,Western Div Finals,"Apr 20 - May 3, 1975",Indiana Pacers (3),4,Denver Nuggets (1),3,,
1975,ABA,Finals,"May 13 - May 22, 1975",Kentucky Colonels (1),4,Indiana Pacers (3),1,,
1974,ABA,Western Div Tiebreak,"Mar 29 - Mar 29, 1974",San Diego Conquistadors,1,Denver Rockets,0,,
1974,ABA,Eastern Div Semifinals,"Apr 1 - Apr 8, 1974",Kentucky Colonels (2),4,Carolina Cougars (3),0,,
1974,ABA,Eastern Div Semifinals,"Mar 29 - Apr 8, 1974",New York Nets (1),4,Virginia Squires (4),1,,
1974,ABA,Western Div Semifinals,"Mar 30 - Apr 12, 1974",Indiana Pacers (2),4,San Antonio Spurs (3),3,,
1974,ABA,Western Div Semifinals,"Mar 30 - Apr 8, 1974",Utah Stars (1),4,San Diego Conquistadors (4),2,,
1974,ABA,Eastern Div Finals,"Apr 13 - Apr 20, 1974",New York Nets (1),4,Kentucky Colonels (2),0,,
