Year,League,Series,Date,Team_win,Wins_win,Team_lose,Wins_lose,Fav,Underdog
1949,BAA,Eastern Div Semifinals,"Mar 23 - Mar 26, 1949",New York Knicks (2),2,Baltimore Bullets (3),1,,
1949,BAA,Eastern Div Semifinals,"Mar 23 - Mar 24, 1949",Washington Capitols (1),2,Philadelphia Warriors (4),0,,
1949,BAA,Western Div Semifinals,"Mar 23 - Mar 24, 1949",Minneapolis Lakers (2),2,Chicago Stags (3),0,,
1949,BAA,Western Div Semifinals,"Mar 22 - Mar 23, 1949",Rochester Royals (1),2,St. Louis Bombers (4),0,,
1949,BAA,Eastern Div Finals,"Mar 29 - Apr 2, 1949",Washington Capitols (1),2,New York Knicks (2),1,,
1949,BAA,Western Div Finals,"Mar 27 - Mar 29, 1949",Minneapolis Lakers (2),2,Rochester Royals (1),0,,
1949,BAA,Finals,"Apr 4 - Apr 13, 1949",Minneapolis Lakers (2),4,Washington Capitols (1),2,,
1948,BAA,Western Div Tiebreak,"Mar 25 - Mar 25, 1948",Baltimore Bullets,1,Chicago Stags,0,,
1948,BAA,Western Div Tiebreak,"Mar 23 - Mar 23, 1948",Chicago Stags,1,Washington Capitols,0,,
1948,BAA,Quarterfinals,"Mar 27 - Apr 1, 1948",Baltimore Bullets (2),2,New York Knicks (2),1,,
1948,BAA,Quarterfinals,"Mar 28 - Apr 2, 1948",Chicago Stags (3),2,Boston Celtics (3),1,,
1948,BAA,Semifinals,"Apr 7 - Apr 8, 1948",Baltimore Bullets (2),2,Chicago Stags (3),0,,
1948,BAA,Semifinals,"Mar 23 - Apr 6, 1948",Philadelphia Warriors (1),4,St. Louis Bombers (1),3,,
1948,BAA,Finals,"Apr 10 - Apr 21, 1948",Baltimore Bullets (2),4,Philadelphia Warriors (1),2,,
1947,BAA,Quarterfinals,"Apr 2 - Apr 9, 1947",New York Knicks (3),2,Cleveland Rebels (3),1,,
1947,BAA,Quarterfinals,"Apr 2 - Apr 6, 1947",Philadelphia Warriors (2),2,St. Louis Bombers (2),1,,
1947,BAA,Semifinals,"Apr 2 - Apr 13, 1947",Chicago Stags (1),4,Washington Capitols (1),2,,
1947,BAA,Semifinals,"Apr 12 - Apr 14, 1947",Philadelphia Warriors (2),2,New York Knicks (3),0,,
1947,BAA,Finals,"Apr 16 - Apr 22, 1947",Philadelphia Warriors (2),4,Chicago Stags (1),1,,
