Year,Series_conference,Series_round,Date_start,Date_end,Team_win,Seed_win,Wins_win,Team_lose,Seed_lose,Wins_lose,Fav_team,Fav_odds,Underdog_team,Underdog_odds
2020,E,3,2020-08-18,2020-08-29,Milwaukee Bucks,1,4,Orlando Magic,8,1,MIL,-7500,ORL,3250
2020,E,3,2020-08-17,2020-08-23,Toronto Raptors,2,4,Brooklyn Nets,7,0,TOR,-2200,BRK,1315
2020,E,3,2020-08-17,2020-08-23,Boston Celtics,3,4,Philadelphia 76ers,6,0,BOS,-450,PHI,360
2020,E,3,2020-08-18,2020-08-24,Miami Heat,5,4,Indiana Pacers,4,0,MIA,-320,IND,260
2020,W,3,2020-08-18,2020-08-29,Los Angeles Lakers,1,4,Portland Trail Blazers,8,1,LAL,-550,POR,425
2020,W,3,2020-08-17,2020-08-30,Los Angeles Clippers,2,4,Dallas Mavericks,7,2,LAC,-630,DAL,465
2020,W,3,2020-08-17,2020-09-01,Denver Nuggets,3,4,Utah Jazz,6,3,DEN,-285,UTA,243
2020,W,3,2020-08-18,2020-09-02,Houston Rockets,4,4,Oklahoma City Thunder,5,3,HOU,-160,OKC,140
2020,E,2,2020-08-30,2020-09-11,Boston Celtics,3,4,Toronto Raptors,2,3,TOR,-135,BOS,115
2020,E,2,2020-08-31,2020-09-08,Miami Heat,5,4,Milwaukee Bucks,1,1,MIL,-440,MIA,350
2020,W,2,2020-09-03,2020-09-15,Denver Nuggets,3,4,Los Angeles Clippers,2,3,LAC,-1300,DEN,850
2020,W,2,2020-09-04,2020-09-12,Los Angeles Lakers,1,4,Houston Rockets,4,1,LAL,-550,HOU,425
2020,E,1,2020-09-15,2020-09-27,Miami Heat,5,4,Boston Celtics,3,2,BOS,-130,MIA,110
2020,W,1,2020-09-18,2020-09-26,Los Angeles Lakers,1,4,Denver Nuggets,3,1,LAL,-550,DEN,425
2020,F,0,2020-09-30,2020-10-11,Los Angeles Lakers,1,4,Miami Heat,5,2,LAL,-350,MIA,290
2019,E,3,2019-04-14,2019-04-22,Milwaukee Bucks,1,4,Detroit Pistons,8,0,MIL,-3500,DET,1750
2019,E,3,2019-04-13,2019-04-23,Toronto Raptors,2,4,Orlando Magic,7,1,TOR,-1200,ORL,775
2019,E,3,2019-04-13,2019-04-23,Philadelphia 76ers,3,4,Brooklyn Nets,6,1,PHI,-600,BRK,450
2019,E,3,2019-04-14,2019-04-21,Boston Celtics,4,4,Indiana Pacers,5,0,BOS,-465,IND,370
2019,W,3,2019-04-13,2019-04-26,Golden State Warriors,1,4,Los Angeles Clippers,8,2,GSW,-15000,LAC,6000
2019,W,3,2019-04-13,2019-04-27,Denver Nuggets,2,4,San Antonio Spurs,7,3,DEN,-270,SAS,230
2019,W,3,2019-04-14,2019-04-23,Portland Trail Blazers,3,4,Oklahoma City Thunder,6,1,OKC,-165,POR,145
2019,W,3,2019-04-14,2019-04-24,Houston Rockets,4,4,Utah Jazz,5,1,HOU,-310,UTA,255
2019,E,2,2019-04-28,2019-05-08,Milwaukee Bucks,1,4,Boston Celtics,4,1,MIL,-360,BOS,300
2019,E,2,2019-04-27,2019-05-12,Toronto Raptors,2,4,Philadelphia 76ers,3,3,TOR,-290,PHI,245
2019,W,2,2019-04-28,2019-05-10,Golden State Warriors,1,4,Houston Rockets,4,2,GSW,-280,HOU,240
2019,W,2,2019-04-29,2019-05-12,Portland Trail Blazers,3,4,Denver Nuggets,2,3,DEN,-145,POR,125
2019,E,1,2019-05-15,2019-05-25,Toronto Raptors,2,4,Milwaukee Bucks,1,2,MIL,-270,TOR,230
2019,W,1,2019-05-14,2019-05-20,Golden State Warriors,1,4,Portland Trail Blazers,3,0,GSW,-550,POR,425
2019,F,0,2019-05-30,2019-06-13,Toronto Raptors,2,4,Golden State Warriors,1,2,GSW,-270,TOR,230
2018,E,3,2018-04-14,2018-04-27,Toronto Raptors,1,4,Washington Wizards,8,2,TOR,-630,WAS,465
2018,E,3,2018-04-15,2018-04-28,Boston Celtics,2,4,Milwaukee Bucks,7,3,BOS,-150,MIL,130
2018,E,3,2018-04-14,2018-04-24,Philadelphia 76ers,3,4,Miami Heat,6,1,PHI,-500,MIA,400
2018,E,3,2018-04-15,2018-04-29,Cleveland Cavaliers,4,4,Indiana Pacers,5,3,CLE,-600,IND,450
2018,W,3,2018-04-15,2018-04-25,Houston Rockets,1,4,Minnesota Timberwolves,8,1,HOU,-3000,MIN,1500
2018,W,3,2018-04-14,2018-04-24,Golden State Warriors,2,4,San Antonio Spurs,7,1,GSW,-900,SAS,600
2018,W,3,2018-04-14,2018-04-21,New Orleans Pelicans,6,4,Portland Trail Blazers,3,0,POR,-220,NOP,180
2018,W,3,2018-04-15,2018-04-27,Utah Jazz,5,4,Oklahoma City Thunder,4,2,OKC,-140,UTA,120
2018,W,2,2018-04-28,2018-05-08,Golden State Warriors,2,4,New Orleans Pelicans,6,1,GSW,-1050,NOP,675
2018,W,2,2018-04-29,2018-05-08,Houston Rockets,1,4,Utah Jazz,5,1,HOU,-1500,UTA,1000
2018,E,2,2018-04-30,2018-05-09,Boston Celtics,2,4,Philadelphia 76ers,3,1,PHI,-525,BOS,415
2018,E,2,2018-05-01,2018-05-07,Cleveland Cavaliers,4,4,Toronto Raptors,1,0,TOR,-190,CLE,165
2018,E,1,2018-05-13,2018-05-27,Cleveland Cavaliers,4,4,Boston Celtics,2,3,CLE,-275,BOS,235
2018,W,1,2018-05-14,2018-05-28,Golden State Warriors,2,4,Houston Rockets,1,3,GSW,-200,HOU,170
2018,F,0,2018-05-31,2018-06-08,Golden State Warriors,2,4,Cleveland Cavaliers,4,0,GSW,-1075,CLE,688
2017,E,3,2017-04-16,2017-04-28,Boston Celtics,1,4,Chicago Bulls,8,2,BOS,-470,CHI,375
2017,E,3,2017-04-15,2017-04-23,Cleveland Cavaliers,2,4,Indiana Pacers,7,0,CLE,-1100,IND,700
2017,E,3,2017-04-15,2017-04-27,Toronto Raptors,3,4,Milwaukee Bucks,6,2,TOR,-440,MIL,350
2017,E,3,2017-04-16,2017-04-28,Washington Wizards,4,4,Atlanta Hawks,5,2,WAS,-220,ATL,180
2017,W,3,2017-04-16,2017-04-24,Golden State Warriors,1,4,Portland Trail Blazers,8,0,GSW,-7000,POR,3000
2017,W,3,2017-04-15,2017-04-27,San Antonio Spurs,2,4,Memphis Grizzlies,7,2,SAS,-1070,MEM,685
2017,W,3,2017-04-16,2017-04-25,Houston Rockets,3,4,Oklahoma City Thunder,6,1,HOU,-390,OKC,320
2017,W,3,2017-04-15,2017-04-30,Utah Jazz,5,4,Los Angeles Clippers,4,3,LAC,-245,UTA,205
2017,E,2,2017-05-01,2017-05-07,Cleveland Cavaliers,2,4,Toronto Raptors,3,0,CLE,-475,TOR,380
2017,E,2,2017-04-30,2017-05-15,Boston Celtics,1,4,Washington Wizards,4,3,BOS,-185,WAS,160
2017,W,2,2017-05-02,2017-05-08,Golden State Warriors,1,4,Utah Jazz,5,0,GSW,-3200,UTA,1600
2017,W,2,2017-05-01,2017-05-11,San Antonio Spurs,2,4,Houston Rockets,3,2,SAS,-300,HOU,250
2017,W,1,2017-05-14,2017-05-22,Golden State Warriors,1,4,San Antonio Spurs,2,0,GSW,-1050,SAS,675
2017,E,1,2017-05-17,2017-05-25,Cleveland Cavaliers,2,4,Boston Celtics,1,1,CLE,-700,BOS,500
2017,F,0,2017-06-01,2017-06-12,Golden State Warriors,1,4,Cleveland Cavaliers,2,1,GSW,-300,CLE,250
2016,E,3,2016-04-17,2016-04-24,Cleveland Cavaliers,1,4,Detroit Pistons,8,0,CLE,-1700,DET,1100
2016,E,3,2016-04-16,2016-05-01,Toronto Raptors,2,4,Indiana Pacers,7,3,TOR,-400,IND,325
2016,E,3,2016-04-17,2016-05-01,Miami Heat,3,4,Charlotte Hornets,6,3,MIA,-170,CHO,150
2016,E,3,2016-04-16,2016-04-28,Atlanta Hawks,4,4,Boston Celtics,5,2,ATL,-165,BOS,145
2016,W,3,2016-04-16,2016-04-27,Golden State Warriors,1,4,Houston Rockets,8,1,GSW,-10000,HOU,4000
2016,W,3,2016-04-17,2016-04-24,San Antonio Spurs,2,4,Memphis Grizzlies,7,0,SAS,-17000,MEM,6625
2016,W,3,2016-04-16,2016-04-25,Oklahoma City Thunder,3,4,Dallas Mavericks,6,1,OKC,-3500,DAL,1750
2016,W,3,2016-04-17,2016-04-29,Portland Trail Blazers,5,4,Los Angeles Clippers,4,2,LAC,-525,POR,415
2016,E,2,2016-05-02,2016-05-08,Cleveland Cavaliers,1,4,Atlanta Hawks,4,0,CLE,-500,ATL,400
2016,E,2,2016-05-03,2016-05-15,Toronto Raptors,2,4,Miami Heat,3,3,TOR,-145,MIA,125
2016,W,2,2016-05-01,2016-05-11,Golden State Warriors,1,4,Portland Trail Blazers,5,1,GSW,-1600,POR,1050
2016,W,2,2016-04-30,2016-05-12,Oklahoma City Thunder,3,4,San Antonio Spurs,2,2,SAS,-270,OKC,230
2016,E,1,2016-05-17,2016-05-27,Cleveland Cavaliers,1,4,Toronto Raptors,2,2,CLE,-1350,TOR,885
2016,W,1,2016-05-16,2016-05-30,Golden State Warriors,1,4,Oklahoma City Thunder,3,3,GSW,-430,OKC,345
2016,F,0,2016-06-02,2016-06-19,Cleveland Cavaliers,1,4,Golden State Warriors,1,3,GSW,-220,CLE,180
2015,E,3,2015-04-19,2015-05-01,Atlanta Hawks,1,4,Brooklyn Nets,8,2,ATL,-1350,BRK,900
2015,E,3,2015-04-19,2015-04-26,Cleveland Cavaliers,2,4,Boston Celtics,7,0,CLE,-5000,BOS,2100
2015,E,3,2015-04-18,2015-04-30,Chicago Bulls,3,4,Milwaukee Bucks,6,2,CHI,-950,MIL,700
2015,E,3,2015-04-18,2015-04-26,Washington Wizards,5,4,Toronto Raptors,4,0,TOR,-175,WAS,155
2015,W,3,2015-04-18,2015-04-25,Golden State Warriors,1,4,New Orleans Pelicans,8,0,GSW,-3000,NOP,1500
2015,W,3,2015-04-18,2015-04-28,Houston Rockets,2,4,Dallas Mavericks,7,1,HOU,-260,DAL,220
2015,W,3,2015-04-19,2015-05-02,Los Angeles Clippers,3,4,San Antonio Spurs,6,3,SAS,-180,LAC,160
2015,W,3,2015-04-19,2015-04-29,Memphis Grizzlies,5,4,Portland Trail Blazers,4,1,MEM,-225,POR,195
2015,E,2,2015-05-04,2015-05-14,Cleveland Cavaliers,2,4,Chicago Bulls,3,2,CLE,-240,CHI,200
2015,E,2,2015-05-03,2015-05-15,Atlanta Hawks,1,4,Washington Wizards,5,2,ATL,-245,WAS,205
2015,W,2,2015-05-04,2015-05-17,Houston Rockets,2,4,Los Angeles Clippers,3,3,HOU,-150,LAC,130
2015,W,2,2015-05-03,2015-05-15,Golden State Warriors,1,4,Memphis Grizzlies,5,2,GSW,-1000,MEM,725
2015,E,1,2015-05-20,2015-05-26,Cleveland Cavaliers,2,4,Atlanta Hawks,1,0,CLE,-190,ATL,165
2015,W,1,2015-05-19,2015-05-27,Golden State Warriors,1,4,Houston Rockets,2,1,GSW,-880,HOU,665
2015,F,0,2015-06-04,2015-06-16,Golden State Warriors,1,4,Cleveland Cavaliers,2,2,GSW,-220,CLE,190
2014,E,3,2014-04-19,2014-05-03,Indiana Pacers,1,4,Atlanta Hawks,8,3,IND,-600,ATL,440
2014,E,3,2014-04-20,2014-04-28,Miami Heat,2,4,Charlotte Bobcats,7,0,MIA,-2500,CHA,1000
