country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Iran,Czech Republic,78,84,2507,3,Mohammadsina Vahedi,02:33,0,0/2,0/1,0/1,0/0,0,0,0,0,0,1,0,0,-3,-3
Iran,Czech Republic,78,84,2507,5,Pujan Jalalpoor,09:04,3,1/3,0/2,1/1,0/0,0,0,0,0,0,1,0,0,-6,0
Iran,Czech Republic,78,84,2507,7,Mohammad Hassanzadeh,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Iran,Czech Republic,78,84,2507,8,Saeid Davarpanah,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Iran,Czech Republic,78,84,2507,13,Mohammad Jamshidijafarabadi,28:36,16,7/11,6/9,1/2,1/2,0,1,1,7,1,7,1,0,-5,13
Iran,Czech Republic,78,84,2507,14,Mohammadsamad Nik Khahbahrami,32:05,8,3/11,1/3,2/8,0/0,1,5,6,2,2,3,3,0,-1,8
Iran,Czech Republic,78,84,2507,15,Hamed Haddadi,28:48,15,5/9,5/9,0/0,5/8,2,8,10,4,5,4,2,1,1,21
Iran,Czech Republic,78,84,2507,17,Navid Rezaeifar,18:35,4,2/4,2/2,0/2,0/0,1,2,3,2,1,1,0,0,14,6
Iran,Czech Republic,78,84,2507,20,Michael Rostampour,13:06,2,1/2,1/1,0/1,0/1,1,1,2,0,2,0,0,0,-9,2
Iran,Czech Republic,78,84,2507,23,Aaron Geramipoor,11:12,2,1/1,1/1,0/0,0/0,1,2,3,0,3,2,0,0,-7,3
Iran,Czech Republic,78,84,2507,41,Arsalan Kazemi,19:53,5,2/3,2/3,0/0,1/3,1,1,2,1,2,0,2,0,-7,7
Iran,Czech Republic,78,84,2507,88,Behnam Yakhchalidehkordi,36:08,23,9/16,7/12,2/4,3/3,0,3,3,4,2,2,1,0,-7,22
Czech Republic,Iran,84,78,2507,1,Patrik Auda,22:37,16,4/7,4/7,0/0,8/10,2,4,6,0,3,3,0,0,7,14
Czech Republic,Iran,84,78,2507,4,Tomas Vyoral,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Czech Republic,Iran,84,78,2507,8,Tomas Satoransky,34:01,6,2/14,2/9,0/5,2/2,5,3,8,8,1,6,5,0,7,9
Czech Republic,Iran,84,78,2507,11,Blake Schilb,24:02,14,6/10,4/5,2/5,0/0,1,3,4,5,0,1,0,1,2,19
Czech Republic,Iran,84,78,2507,12,Ondrej Balvín,19:02,9,4/6,4/5,0/1,1/2,5,3,8,0,2,2,0,1,2,13
Czech Republic,Iran,84,78,2507,13,Jakub Sirina,14:42,5,2/4,1/2,1/2,0/0,0,2,2,3,1,0,0,0,9,8
Czech Republic,Iran,84,78,2507,15,Martin Peterka,13:40,5,2/5,1/2,1/3,0/0,0,3,3,2,2,0,2,0,1,9
Czech Republic,Iran,84,78,2507,17,Jaromir Bohacik,21:14,6,3/8,3/3,0/5,0/0,0,0,0,5,3,0,1,0,1,7
Czech Republic,Iran,84,78,2507,19,Ondrej Sehnal,03:38,0,0/0,0/0,0/0,0/0,1,0,1,1,0,0,0,0,-1,2
Czech Republic,Iran,84,78,2507,23,Lukas Palyza,10:17,5,2/5,1/1,1/4,0/0,0,1,1,0,1,0,0,0,-5,3
Czech Republic,Iran,84,78,2507,24,Jan Vesely,24:41,11,5/7,5/7,0/0,1/4,1,6,7,3,1,3,2,0,2,15
Czech Republic,Iran,84,78,2507,25,David Jelinek,12:06,7,3/8,2/3,1/5,0/0,0,0,0,2,3,0,2,0,5,6
Germany,Italy,82,92,2507,0,Isaac Bonga,27:05,13,5/8,3/4,2/4,1/2,0,3,3,4,1,2,2,2,-21,18
Germany,Italy,82,92,2507,1,Joshiko Saibou,09:39,6,3/5,3/4,0/1,0/0,1,2,3,1,3,2,0,0,-12,6
Germany,Italy,82,92,2507,4,Maodo Lo,28:29,24,9/12,3/3,6/9,0/0,0,4,4,4,2,3,0,0,-2,26
Germany,Italy,82,92,2507,5,Niels Giffey,19:52,3,1/3,0/2,1/1,0/0,1,1,2,0,0,0,1,0,10,4
Germany,Italy,82,92,2507,6,Jan Niklas Wimberg,00:09,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
