country,vs,team_score,vs_score,#,Players,Pts,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF,FGS,FGA,2PtsS,2PtsA,3PtsS,3PtsA,FTS,FTA,day,month,Sec
Iran,Czech Republic,78,84,3,Mohammadsina Vahedi,0,0,0,0,0,0,1,0,0,-3,-3,0,2,0,1,0,1,0,0,25,07,153
Iran,Czech Republic,78,84,5,Pujan Jalalpoor,3,0,0,0,0,0,1,0,0,-6,0,1,3,0,2,1,1,0,0,25,07,544
Iran,Czech Republic,78,84,7,Mohammad Hassanzadeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,07,0
Iran,Czech Republic,78,84,8,Saeid Davarpanah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,07,0
Iran,Czech Republic,78,84,13,Mohammad Jamshidijafarabadi,16,0,1,1,7,1,7,1,0,-5,13,7,11,6,9,1,2,1,2,25,07,1716
Iran,Czech Republic,78,84,14,Mohammadsamad Nik Khahbahrami,8,1,5,6,2,2,3,3,0,-1,8,3,11,1,3,2,8,0,0,25,07,1925
Iran,Czech Republic,78,84,15,Hamed Haddadi,15,2,8,10,4,5,4,2,1,1,21,5,9,5,9,0,0,5,8,25,07,1728
Iran,Czech Republic,78,84,17,Navid Rezaeifar,4,1,2,3,2,1,1,0,0,14,6,2,4,2,2,0,2,0,0,25,07,1115
Iran,Czech Republic,78,84,20,Michael Rostampour,2,1,1,2,0,2,0,0,0,-9,2,1,2,1,1,0,1,0,1,25,07,786
Iran,Czech Republic,78,84,23,Aaron Geramipoor,2,1,2,3,0,3,2,0,0,-7,3,1,1,1,1,0,0,0,0,25,07,672
Iran,Czech Republic,78,84,41,Arsalan Kazemi,5,1,1,2,1,2,0,2,0,-7,7,2,3,2,3,0,0,1,3,25,07,1193
Iran,Czech Republic,78,84,88,Behnam Yakhchalidehkordi,23,0,3,3,4,2,2,1,0,-7,22,9,16,7,12,2,4,3,3,25,07,2168
Czech Republic,Iran,84,78,1,Patrik Auda,16,2,4,6,0,3,3,0,0,7,14,4,7,4,7,0,0,8,10,25,07,1357
Czech Republic,Iran,84,78,4,Tomas Vyoral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,07,0
Czech Republic,Iran,84,78,8,Tomas Satoransky,6,5,3,8,8,1,6,5,0,7,9,2,14,2,9,0,5,2,2,25,07,2041
Czech Republic,Iran,84,78,11,Blake Schilb,14,1,3,4,5,0,1,0,1,2,19,6,10,4,5,2,5,0,0,25,07,1442
Czech Republic,Iran,84,78,12,Ondrej Balvín,9,5,3,8,0,2,2,0,1,2,13,4,6,4,5,0,1,1,2,25,07,1142
Czech Republic,Iran,84,78,13,Jakub Sirina,5,0,2,2,3,1,0,0,0,9,8,2,4,1,2,1,2,0,0,25,07,882
Czech Republic,Iran,84,78,15,Martin Peterka,5,0,3,3,2,2,0,2,0,1,9,2,5,1,2,1,3,0,0,25,07,820
Czech Republic,Iran,84,78,17,Jaromir Bohacik,6,0,0,0,5,3,0,1,0,1,7,3,8,3,3,0,5,0,0,25,07,1274
